spp,fov,resolution,camera_position,render_time(seconds),fileName,notes
64,40,1024x1024,"[0;1;-12.9]",2764,r_spp64_fov40_res1024x1024.ppm,""
64,40,256x256,"[0;1;-12.9]",694,viewpoint1.ppm,""
64,40,256x256,"[0;2.5;-10]",712,viewpoint2.ppm,""
4,40,256x256,"[0;1;-12.9]",45,binary_task2.ppm,""
64,30,1920x1080,"[0;0.95;-11.5]",4682,r_spp64_fov30_res1920x1080.ppm,""
16,30,1920x1080,"[0;0.95;-11.5]",1137,r_spp16_fov30_res1920x1080_bidirectional.ppm,""
64,30,1920x1080,"[0;0.95;-11.5]",7815,r_spp64_fov30_res1920x1080_bidirectional.ppm,""
16,30,1920x1080,"[0;3;-12.5]",708,r_spp16_fov30_res1920x1080_bidirectional_camerapos0_3_-12.5_kingpos0_0_5.ppm,"Moved king to [0, 0, 5] and moved camera to [0, 3, -12.5]"
16,30,1920x1080,"[0;0.95;-11.5]",1066,r_spp16_fov30_res1920x1080_bidirectional_lightemm200.ppm,"Changed light emmission to 200"
16,30,1920x1080,"[0;0.95;-11.5]",1068,r_spp16_fov30_res1920x1080_bidirectional_blueking.ppm,"Changed king color to [0.3,0.25,0.8]"
16,30,1920x1080,"[0;0.95;-11.5]",1061,r_spp16_fov30_res1920x1080_bidirectional_greenbg.ppm,"Changed bg color to [0.1,0.7,0.1]"
16,30,1920x1080,"[0;0.95;-11.5]",1123,r_spp16_fov30_res1920x1080_bidirectional_light900.ppm,"Changed light emmission to 900"
16,30,1920x1080,"[0;0.95;-11.5]",1074,r_spp16_fov30_res1920x1080_bidirectional_light900_noshadows.ppm,"Changed light emmission to 900 and turned off shadows"
